Team,Season,Season.Type,GP,TOI,CF,CA,CF60,CA60,CF_Perc,CSh_Perc,CSv_Perc,FF,FA,FF60,FA60,FF_Perc,FSh_Perc,FSv_Perc,SF,SA,SF60,SA60,SF_Perc,Sh_Perc,Sv_Perc,xGF,xGA,xGF60,xGA60,xGF_Perc,SCF,SCA,SCF60,SCA60,SCF_Perc,xFSh_Perc,xFSv_Perc,Adj.FSv_Perc,PDO,xPDO,GF,GA,GF60,GA60,GF_Perc,FO_Perc,PENDIFF
CBJ,20122013,Regular,48,274.29,348,39,76.12,8.53,89.92,5.46,97.44,256,32,56,7,88.89,7.42,96.88,188,26,41.12,5.69,87.85,10.11,96.15,20.11,1.87,4.4,0.41,91.49,69,6,15.09,1.31,92,7.85,94.16,2.72,106.26,102.01,19,1,4.16,0.22,95,57.2,-31
CBJ,20132014,Regular,82,483.41,713,76,88.5,9.43,90.37,6.45,90.79,544,60,67.52,7.45,90.07,8.46,88.33,379,52,47.04,6.45,87.94,12.14,86.54,48.88,4.07,6.07,0.51,92.31,163,17,20.23,2.11,90.56,8.98,93.21,-4.88,98.68,102.19,46,7,5.71,0.87,86.79,55.36,-32
CBJ,20142015,Regular,82,429.6,596,69,83.24,9.64,89.62,8.39,94.2,445,61,62.15,8.52,87.94,11.24,93.44,328,46,45.81,6.42,87.7,15.24,91.3,44.29,4.25,6.19,0.59,91.25,175,15,24.44,2.09,92.11,9.95,93.04,0.41,106.55,102.99,50,4,6.98,0.56,92.59,51.65,-29
CBJ,20152016,Regular,82,419.57,553,87,79.08,12.44,86.41,6.69,91.95,422,73,60.35,10.44,85.25,8.77,90.41,313,60,44.76,8.58,83.91,11.82,88.33,44.13,5.3,6.31,0.76,89.29,169,20,24.17,2.86,89.42,10.46,92.75,-2.33,100.15,103.2,37,7,5.29,1,84.09,51.76,-34
CBJ,20162017,Regular,82,378.45,493,66,78.16,10.46,88.19,7.91,96.97,369,53,58.5,8.4,87.44,10.57,96.23,266,40,42.17,6.34,86.93,14.66,95,37.61,3.89,5.96,0.62,90.62,143,16,22.67,2.54,89.94,10.19,92.65,3.57,109.66,102.85,39,2,6.18,0.32,95.12,52.96,-25
CGY,20072008,Regular,83,575.66,768,117,80.05,12.19,86.78,6.38,94.87,600,99,62.54,10.32,85.84,8.17,93.94,437,76,45.55,7.92,85.19,11.21,92.11,57.64,5.73,6.01,0.6,90.96,205,20,21.37,2.08,91.11,9.61,94.22,-0.28,103.32,103.82,49,6,5.11,0.63,89.09,52.69,-40
CGY,20082009,Regular,81,600.28,831,131,83.06,13.09,86.38,6.38,90.08,647,116,64.67,11.59,84.8,8.19,88.79,461,92,46.08,9.2,83.36,11.5,85.87,60.01,9.03,6,0.9,86.92,227,39,22.69,3.9,85.34,9.27,92.21,-3.42,97.37,101.49,53,13,5.3,1.3,80.3,53.66,-37
CGY,20092010,Regular,82,484.08,696,76,86.27,9.42,90.16,5.6,100,500,63,61.97,7.81,88.81,7.8,100,346,45,42.89,5.58,88.49,11.27,100,40.69,2.57,5.04,0.32,94.07,143,6,17.72,0.74,95.97,8.14,95.93,4.07,111.27,104.06,39,0,4.83,0,100,49.25,-46
CGY,20102011,Regular,82,540.81,760,136,84.32,15.09,84.82,6.71,94.85,571,111,63.35,12.31,83.72,8.93,93.69,396,81,43.93,8.99,83.02,12.88,91.36,50.24,6.24,5.57,0.69,88.95,189,20,20.97,2.22,90.43,8.8,94.38,-0.68,104.24,103.18,51,7,5.66,0.78,87.93,50.27,-32
CGY,20112012,Regular,82,450.26,599,91,79.82,12.13,86.81,7.01,93.41,436,73,58.1,9.73,85.66,9.63,91.78,332,51,44.24,6.8,86.68,12.65,88.24,40.49,4.06,5.4,0.54,90.89,155,13,20.65,1.73,92.26,9.29,94.44,-2.66,100.89,103.73,42,6,5.6,0.8,87.5,48.66,-37
CGY,20122013,Regular,48,263.3,335,37,76.34,8.43,90.05,7.76,97.3,249,32,56.74,7.29,88.61,10.44,96.88,173,21,39.42,4.79,89.18,15.03,95.24,23.31,2.42,5.31,0.55,90.6,82,9,18.69,2.05,90.11,9.36,92.44,4.44,110.27,101.8,26,1,5.92,0.23,96.3,50.78,-17
CGY,20132014,Regular,82,407.56,545,69,80.23,10.16,88.76,6.61,91.3,411,60,60.51,8.83,87.26,8.76,90,285,48,41.96,7.07,85.59,12.63,87.5,40.37,2.77,5.94,0.41,93.59,147,6,21.64,0.88,96.08,9.82,95.39,-5.39,100.13,105.21,36,6,5.3,0.88,85.71,48.98,-30
CGY,20142015,Regular,82,459.71,695,100,90.71,13.05,87.42,6.04,97,487,80,63.56,10.44,85.89,8.62,96.25,345,58,45.03,7.57,85.61,12.17,94.83,47.75,4.13,6.23,0.54,92.04,192,11,25.06,1.44,94.58,9.8,94.84,1.41,107,104.64,42,3,5.48,0.39,93.33,47.86,-18
CGY,20152016,Regular,82,462.73,663,83,85.97,10.76,88.87,6.49,92.77,485,70,62.89,9.08,87.39,8.87,91.43,347,54,44.99,7,86.53,12.39,88.89,42.54,4.76,5.52,0.62,89.94,164,17,21.27,2.2,90.61,8.77,93.2,-1.78,101.28,101.97,43,6,5.58,0.78,87.76,50,-23
CGY,20162017,Regular,82,454.39,683,85,90.19,11.22,88.93,6.88,94.12,501,74,66.15,9.77,87.13,9.38,93.24,359,55,47.4,7.26,86.71,13.09,90.91,46.35,4.66,6.12,0.61,90.87,157,11,20.73,1.45,93.45,9.25,93.71,-0.47,104,102.96,47,5,6.21,0.66,90.38,54.82,-24
CHI,20072008,Regular,81,614.07,645,118,63.02,11.53,84.53,6.98,95.76,496,98,48.46,9.58,83.5,9.07,94.9,369,79,36.05,7.72,82.37,12.2,93.67,45.28,6.49,4.42,0.63,87.46,173,24,16.9,2.35,87.82,9.13,93.38,1.52,105.87,102.5,45,5,4.4,0.49,90,58.91,-33
CHI,20082009,Regular,82,595.91,801,103,80.65,10.37,88.61,7.87,95.15,615,98,61.92,9.87,86.26,10.24,94.9,459,73,46.22,7.35,86.28,13.73,93.15,51.9,6.43,5.23,0.65,88.98,196,23,19.73,2.32,89.5,8.44,93.44,1.46,106.88,101.88,63,5,6.34,0.5,92.65,54.41,-49
CHI,20092010,Regular,82,482.53,745,70,92.64,8.7,91.41,6.71,95.71,540,52,67.15,6.47,91.22,9.26,94.23,384,37,47.75,4.6,91.21,13.02,91.89,48.43,3.3,6.02,0.41,93.62,169,10,21.01,1.24,94.41,8.97,93.65,0.58,104.91,102.62,50,3,6.22,0.37,94.34,61.1,-32
